IdJuego,IdUsuario,Nombre
28,1,Li Wei Sofia Ahmed Rahman1
82,1,Li Wei Sofia Ahmed Rahman2
87,1,Li Wei Sofia Ahmed Rahman3
29,1,Li Wei Sofia Ahmed Rahman4
22,1,Li Wei Sofia Ahmed Rahman5
44,1,Li Wei Sofia Ahmed Rahman6
11,1,Li Wei Sofia Ahmed Rahman7
25,1,Li Wei Sofia Ahmed Rahman8
10,1,Li Wei Sofia Ahmed Rahman9
45,1,Li Wei Sofia Ahmed Rahman10
28,2,Antonio Aisha García Lee11
58,2,Antonio Aisha García Lee12
33,2,Antonio Aisha García Lee13
72,2,Antonio Aisha García Lee14
18,2,Antonio Aisha García Lee15
68,2,Antonio Aisha García Lee16
84,3,Mei Ling Natalya Santos Schmidt17
38,3,Mei Ling Natalya Santos Schmidt18
69,3,Mei Ling Natalya Santos Schmidt19
9,3,Mei Ling Natalya Santos Schmidt20
48,3,Mei Ling Natalya Santos Schmidt21
1,3,Mei Ling Natalya Santos Schmidt22
33,3,Mei Ling Natalya Santos Schmidt23
22,4,Ayana Lucia Lee Nguyen1
76,4,Ayana Lucia Lee Nguyen2
31,4,Ayana Lucia Lee Nguyen3
56,4,Ayana Lucia Lee Nguyen4
60,4,Ayana Lucia Lee Nguyen5
51,4,Ayana Lucia Lee Nguyen6
86,4,Ayana Lucia Lee Nguyen7
50,5,Natalia González Wojciechowski8
31,5,Natalia González Wojciechowski9
23,5,Natalia González Wojciechowski10
85,5,Natalia González Wojciechowski11
3,5,Natalia González Wojciechowski12
38,5,Natalia González Wojciechowski13
75,5,Natalia González Wojciechowski14
66,5,Natalia González Wojciechowski15
78,6,Natalya Tariq Rahman16
11,6,Natalya Tariq Rahman17
32,6,Natalya Tariq Rahman18
21,6,Natalya Tariq Rahman19
6,6,Natalya Tariq Rahman20
68,6,Natalya Tariq Rahman21
49,7,Isabella Yuki Ono Fernandez22
72,7,Isabella Yuki Ono Fernandez23
79,7,Isabella Yuki Ono Fernandez1
36,7,Isabella Yuki Ono Fernandez2
1,7,Isabella Yuki Ono Fernandez3
87,7,Isabella Yuki Ono Fernandez4
48,8,Natalya Silva5
76,8,Natalya Silva6
1,8,Natalya Silva7
47,8,Natalya Silva8
81,8,Natalya Silva9
35,8,Natalya Silva10
55,8,Natalya Silva11
57,9,Jin Soo Gisele García Santos12
81,9,Jin Soo Gisele García Santos13
20,9,Jin Soo Gisele García Santos14
31,9,Jin Soo Gisele García Santos15
15,9,Jin Soo Gisele García Santos16
60,9,Jin Soo Gisele García Santos17
85,9,Jin Soo Gisele García Santos18
17,10,Gisele Sokolov Alves19
4,10,Gisele Sokolov Alves20
11,10,Gisele Sokolov Alves21
42,10,Gisele Sokolov Alves22
87,10,Gisele Sokolov Alves23
54,10,Gisele Sokolov Alves1
71,11,Lucia Cohen Patel2
79,11,Lucia Cohen Patel3
4,11,Lucia Cohen Patel4
83,11,Lucia Cohen Patel5
26,11,Lucia Cohen Patel6
76,11,Lucia Cohen Patel7
51,11,Lucia Cohen Patel8
4,12,Ahmed Natalia Adichie Adichie9
57,12,Ahmed Natalia Adichie Adichie10
51,12,Ahmed Natalia Adichie Adichie11
11,12,Ahmed Natalia Adichie Adichie12
60,12,Ahmed Natalia Adichie Adichie13
78,12,Ahmed Natalia Adichie Adichie14
47,13,Ingrid Costa Papadakis15
20,13,Ingrid Costa Papadakis16
33,13,Ingrid Costa Papadakis17
73,13,Ingrid Costa Papadakis18
4,13,Ingrid Costa Papadakis19
52,13,Ingrid Costa Papadakis20
74,13,Ingrid Costa Papadakis21
87,13,Ingrid Costa Papadakis22
28,13,Ingrid Costa Papadakis23
9,14,Sofia García Suleiman1
38,14,Sofia García Suleiman2
7,14,Sofia García Suleiman3
30,14,Sofia García Suleiman4
20,14,Sofia García Suleiman5
81,14,Sofia García Suleiman6
85,14,Sofia García Suleiman7
72,15,Abdul Yuki O'Reilly Khan8
67,15,Abdul Yuki O'Reilly Khan9
32,15,Abdul Yuki O'Reilly Khan10
71,15,Abdul Yuki O'Reilly Khan11
20,15,Abdul Yuki O'Reilly Khan12
53,16,Esmeralda López Rodriguez13
8,16,Esmeralda López Rodriguez14
59,16,Esmeralda López Rodriguez15
26,16,Esmeralda López Rodriguez16
83,16,Esmeralda López Rodriguez17
47,17,Li Wei Kwabena Rahman Petrov18
24,17,Li Wei Kwabena Rahman Petrov19
70,17,Li Wei Kwabena Rahman Petrov20
26,17,Li Wei Kwabena Rahman Petrov21
73,17,Li Wei Kwabena Rahman Petrov22
44,17,Li Wei Kwabena Rahman Petrov23
14,17,Li Wei Kwabena Rahman Petrov1
67,17,Li Wei Kwabena Rahman Petrov2
71,17,Li Wei Kwabena Rahman Petrov3
1,17,Li Wei Kwabena Rahman Petrov4
80,18,María Isabella Costa5
57,18,María Isabella Costa6
10,18,María Isabella Costa7
60,18,María Isabella Costa8
64,18,María Isabella Costa9
61,18,María Isabella Costa10
48,19,Kwame Kowalski Pérez11
12,19,Kwame Kowalski Pérez12
60,19,Kwame Kowalski Pérez13
52,19,Kwame Kowalski Pérez14
39,19,Kwame Kowalski Pérez15
26,19,Kwame Kowalski Pérez16
79,19,Kwame Kowalski Pérez17
61,20,Esmeralda Isabella Brown López18
62,20,Esmeralda Isabella Brown López19
84,20,Esmeralda Isabella Brown López20
87,20,Esmeralda Isabella Brown López21
79,20,Esmeralda Isabella Brown López22
41,21,Jin Soo Ingrid Yamamoto Schmidt23
45,21,Jin Soo Ingrid Yamamoto Schmidt1
69,21,Jin Soo Ingrid Yamamoto Schmidt2
76,21,Jin Soo Ingrid Yamamoto Schmidt3
63,21,Jin Soo Ingrid Yamamoto Schmidt4
80,22,Ahmed Rahman5
54,22,Ahmed Rahman6
69,22,Ahmed Rahman7
76,22,Ahmed Rahman8
46,22,Ahmed Rahman9
57,22,Ahmed Rahman10
78,23,Tariq Malik Müller11
26,23,Tariq Malik Müller12
12,23,Tariq Malik Müller13
40,23,Tariq Malik Müller14
21,24,Isabella Emeka Abdi López15
40,24,Isabella Emeka Abdi López16
25,24,Isabella Emeka Abdi López17
27,24,Isabella Emeka Abdi López18
32,24,Isabella Emeka Abdi López19
27,25,Tariq Pérez Kim20
67,25,Tariq Pérez Kim21
80,25,Tariq Pérez Kim22
58,25,Tariq Pérez Kim23
27,26,Sven Malik Chandra Khan1
2,26,Sven Malik Chandra Khan2
70,26,Sven Malik Chandra Khan3
68,26,Sven Malik Chandra Khan4
67,26,Sven Malik Chandra Khan5
61,27,Natalia Jin Soo Al-Mansouri Novak6
30,27,Natalia Jin Soo Al-Mansouri Novak7
32,27,Natalia Jin Soo Al-Mansouri Novak8
14,27,Natalia Jin Soo Al-Mansouri Novak9
58,27,Natalia Jin Soo Al-Mansouri Novak10
66,28,Abdul Ahmed Fernández11
53,28,Abdul Ahmed Fernández12
6,28,Abdul Ahmed Fernández13
41,28,Abdul Ahmed Fernández14
37,28,Abdul Ahmed Fernández15
9,28,Abdul Ahmed Fernández16
14,28,Abdul Ahmed Fernández17
77,29,Amir Santos Kim18
45,29,Amir Santos Kim19
76,29,Amir Santos Kim20
62,29,Amir Santos Kim21
42,29,Amir Santos Kim22
25,29,Amir Santos Kim23
31,29,Amir Santos Kim1
1,29,Amir Santos Kim2
34,29,Amir Santos Kim3
68,29,Amir Santos Kim4
72,30,Amir Natalia Lee Rodriguez5
39,30,Amir Natalia Lee Rodriguez6
16,30,Amir Natalia Lee Rodriguez7
74,30,Amir Natalia Lee Rodriguez8
41,30,Amir Natalia Lee Rodriguez9
71,30,Amir Natalia Lee Rodriguez10
25,30,Amir Natalia Lee Rodriguez11
34,30,Amir Natalia Lee Rodriguez12
54,30,Amir Natalia Lee Rodriguez13
49,31,Emeka Costa Ito14
74,31,Emeka Costa Ito15
2,31,Emeka Costa Ito16
12,31,Emeka Costa Ito17
36,31,Emeka Costa Ito18
54,31,Emeka Costa Ito19
52,31,Emeka Costa Ito20
21,31,Emeka Costa Ito21
34,31,Emeka Costa Ito22
1,31,Emeka Costa Ito23
50,32,Yasin Pérez1
63,32,Yasin Pérez2
73,32,Yasin Pérez3
81,32,Yasin Pérez4
11,32,Yasin Pérez5
62,33,Li Wei Ahmed Nguyen6
44,33,Li Wei Ahmed Nguyen7
27,33,Li Wei Ahmed Nguyen8
60,33,Li Wei Ahmed Nguyen9
39,33,Li Wei Ahmed Nguyen10
68,33,Li Wei Ahmed Nguyen11
86,33,Li Wei Ahmed Nguyen12
78,33,Li Wei Ahmed Nguyen13
84,34,Antonio Sokolov Patel14
29,34,Antonio Sokolov Patel15
55,34,Antonio Sokolov Patel16
63,34,Antonio Sokolov Patel17
47,34,Antonio Sokolov Patel18
85,35,Ingrid Alves Andersson19
53,35,Ingrid Alves Andersson20
40,35,Ingrid Alves Andersson21
2,35,Ingrid Alves Andersson22
52,35,Ingrid Alves Andersson23
48,35,Ingrid Alves Andersson1
13,35,Ingrid Alves Andersson2
38,36,Hiroshi Kwame García3
12,36,Hiroshi Kwame García4
22,36,Hiroshi Kwame García5
31,36,Hiroshi Kwame García6
58,36,Hiroshi Kwame García7
67,37,Gisele Chandra8
30,37,Gisele Chandra9
25,37,Gisele Chandra10
36,37,Gisele Chandra11
9,38,Yasin Jin Soo García Sánchez12
83,38,Yasin Jin Soo García Sánchez13
7,38,Yasin Jin Soo García Sánchez14
17,38,Yasin Jin Soo García Sánchez15
84,38,Yasin Jin Soo García Sánchez16
6,38,Yasin Jin Soo García Sánchez17
10,39,Leila Abdi18
27,39,Leila Abdi19
3,39,Leila Abdi20
15,39,Leila Abdi21
62,39,Leila Abdi22
23,39,Leila Abdi23
50,39,Leila Abdi1
7,39,Leila Abdi2
55,39,Leila Abdi3
6,39,Leila Abdi4
54,40,Natalya Jin Soo Schmidt Oliveira5
5,40,Natalya Jin Soo Schmidt Oliveira6
21,40,Natalya Jin Soo Schmidt Oliveira7
49,40,Natalya Jin Soo Schmidt Oliveira8
15,40,Natalya Jin Soo Schmidt Oliveira9
61,40,Natalya Jin Soo Schmidt Oliveira10
48,40,Natalya Jin Soo Schmidt Oliveira11
56,40,Natalya Jin Soo Schmidt Oliveira12
68,40,Natalya Jin Soo Schmidt Oliveira13
32,40,Natalya Jin Soo Schmidt Oliveira14
39,41,Svetlana Kwiatkowski15
45,41,Svetlana Kwiatkowski16
61,41,Svetlana Kwiatkowski17
34,41,Svetlana Kwiatkowski18
4,41,Svetlana Kwiatkowski19
74,41,Svetlana Kwiatkowski20
10,42,Anwar Novak Ahmed21
26,42,Anwar Novak Ahmed22
24,42,Anwar Novak Ahmed23
37,42,Anwar Novak Ahmed1
71,42,Anwar Novak Ahmed2
76,42,Anwar Novak Ahmed3
72,43,Sven Ekaterina Wojciechowski Nguyen4
24,43,Sven Ekaterina Wojciechowski Nguyen5
61,43,Sven Ekaterina Wojciechowski Nguyen6
73,43,Sven Ekaterina Wojciechowski Nguyen7
86,43,Sven Ekaterina Wojciechowski Nguyen8
30,43,Sven Ekaterina Wojciechowski Nguyen9
63,43,Sven Ekaterina Wojciechowski Nguyen10
36,43,Sven Ekaterina Wojciechowski Nguyen11
77,43,Sven Ekaterina Wojciechowski Nguyen12
46,43,Sven Ekaterina Wojciechowski Nguyen13
48,44,Tariq Suleiman García14
11,44,Tariq Suleiman García15
1,44,Tariq Suleiman García16
32,44,Tariq Suleiman García17
64,44,Tariq Suleiman García18
86,44,Tariq Suleiman García19
5,44,Tariq Suleiman García20
71,44,Tariq Suleiman García21
81,44,Tariq Suleiman García22
51,45,Abdul Kwame Sánchez23
48,45,Abdul Kwame Sánchez1
11,45,Abdul Kwame Sánchez2
57,45,Abdul Kwame Sánchez3
6,45,Abdul Kwame Sánchez4
53,45,Abdul Kwame Sánchez5
87,45,Abdul Kwame Sánchez6
3,46,Jamal Esmeralda Rossi Smith7
26,46,Jamal Esmeralda Rossi Smith8
31,46,Jamal Esmeralda Rossi Smith9
84,46,Jamal Esmeralda Rossi Smith10
52,46,Jamal Esmeralda Rossi Smith11
