IdJuego,IdUsuario,FechaAgregado
10,2,2019-12-08
68,2,2003-10-29
34,2,2019-10-25
20,2,2010-11-09
80,3,2003-10-29
51,3,2019-10-25
11,3,2010-11-09
17,4,2019-12-08
11,4,2003-10-29
35,4,2010-11-09
37,5,2003-10-29
83,5,2010-11-09
62,6,2019-12-08
77,6,2003-10-29
53,6,2019-10-25
46,6,2010-11-09
20,7,2019-12-08
73,7,2003-10-29
17,7,2019-10-25
24,7,2010-11-09
10,8,2003-10-29
53,8,2019-10-25
69,8,2010-11-09
22,9,2007-11-19
69,9,2003-10-29
73,9,2010-11-09
41,10,2019-12-08
28,10,2003-10-29
70,10,2019-10-25
86,10,2010-11-09
48,11,2003-10-29
18,11,2019-10-25
50,11,2010-11-09
62,12,2007-11-19
55,12,2019-12-08
23,12,2019-10-25
21,12,2010-11-09
62,14,2019-12-08
44,14,2003-10-29
70,14,2019-10-25
50,15,2007-11-19
40,15,2019-12-08
52,15,2003-10-29
9,15,2019-10-25
21,15,2010-11-09
87,16,2004-03-16
56,16,2007-11-19
60,16,2003-10-29
21,16,2019-10-25
34,16,2010-11-09
67,18,2007-11-19
48,18,2003-10-29
33,18,2019-10-25
87,18,2010-11-09
80,19,2003-10-29
53,19,2019-10-25
23,19,2010-11-09
42,20,2007-11-19
8,20,2019-12-08
51,20,2003-10-29
80,20,2019-10-25
5,20,2010-11-09
8,21,2007-11-19
22,21,2019-12-08
73,21,2003-10-29
17,21,2019-10-25
49,21,2010-11-09
28,22,2019-12-08
13,22,2003-10-29
17,22,2019-10-25
44,22,2010-11-09
11,23,2004-03-16
62,23,2007-11-19
81,23,2019-12-08
2,23,2003-10-29
37,23,2019-10-25
74,23,2010-11-09
17,24,2007-11-19
16,24,2019-12-08
78,24,2003-10-29
5,24,2019-10-25
75,24,2010-11-09
80,25,2004-03-16
69,25,2007-11-19
68,25,2019-12-08
9,25,2003-10-29
3,25,2019-10-25
23,25,2010-11-09
31,26,2007-11-19
56,26,2019-12-08
20,26,2003-10-29
85,26,2019-10-25
19,26,2010-11-09
80,27,2004-03-16
46,27,2007-11-19
71,27,2003-10-29
63,27,2019-10-25
65,27,2010-11-09
28,28,2003-10-29
84,28,2010-11-09
68,32,2007-11-19
54,32,2019-12-08
87,32,2003-10-29
60,32,2010-11-09
54,34,2007-11-19
62,34,2019-12-08
80,34,2003-10-29
81,34,2019-10-25
18,34,2010-11-09
62,35,2019-12-08
38,35,2019-10-25
4,35,2010-11-09
11,36,2004-03-16
34,36,2007-11-19
69,36,2019-12-08
82,36,2003-10-29
61,36,2010-11-09
35,37,2004-03-16
53,37,2007-11-19
5,37,2019-12-08
39,37,2003-10-29
70,37,2019-10-25
78,37,2010-11-09
83,38,2007-11-19
21,38,2003-10-29
27,38,2019-10-25
24,38,2010-11-09
87,41,2007-11-19
66,41,2003-10-29
6,41,2019-10-25
22,41,2010-11-09
40,42,2007-11-19
23,42,2003-10-29
44,42,2019-10-25
80,42,2010-11-09
10,45,2019-12-08
75,45,2019-10-25
33,46,2019-12-08
81,46,2003-10-29
78,46,2019-10-25
46,46,2010-11-09
7,47,2019-12-08
29,47,2003-10-29
65,47,2019-10-25
23,47,2010-11-09
84,48,2007-11-19
42,48,2019-12-08
32,48,2003-10-29
49,48,2019-10-25
34,48,2010-11-09
43,49,2007-11-19
27,49,2019-10-25
47,49,2010-11-09
70,50,2019-12-08
56,50,2019-10-25
26,50,2010-11-09
29,51,2019-10-25
43,51,2010-11-09
65,53,2003-10-29
66,53,2019-10-25
26,53,2010-11-09
26,54,2007-11-19
61,54,2003-10-29
80,54,2019-10-25
36,55,2007-11-19
48,55,2019-12-08
59,55,2003-10-29
80,55,2019-10-25
44,55,2010-11-09
